,Movie_name,Rating,Duration,Release_year,Genre,Director,Meta_score
561,226. Harry Potter and the Order of the Phoenix,7.5,2h 18m,2007-01-01,action,David Yates,71
562,227. Hot Fuzz,7.8,2h 1m,2007-01-01,action,Edgar Wright,81
563,234. Live Free or Die Hard,7.1,2h 8m,2007-01-01,action,Len Wiseman,69
564,240. Next,6.2,1h 36m,2007-01-01,action,Lee Tamahori,42
565,243. Om Shanti Om,6.8,2h 42m,2007-01-01,action,Farah Khan,0
566,244. Pirates of the Caribbean: At World's End,7.1,2h 49m,2007-01-01,action,Gore Verbinski,50
567,249. Shoot 'Em Up,6.6,1h 26m,2007-01-01,action,Michael Davis,49
568,250. Shooter,7.1,2h 4m,2007-01-01,action,Antoine Fuqua,53
569,256. The Bourne Ultimatum,8.0,1h 55m,2007-01-01,action,Paul Greengrass,85
570,267. Transformers,7.1,2h 24m,2007-01-01,action,Michael Bay,61
571,271. 24: Redemption,7.4,1h 24m,2008-01-01,action,Jon Cassar,0
572,277. Death Race,6.4,1h 45m,2008-01-01,action,Paul W.S. Anderson,43
573,280. Eagle Eye,6.6,1h 58m,2008-01-01,action,D.J. Caruso,43
574,287. Hancock,6.4,1h 32m,2008-01-01,action,Peter Berg,49
575,289. Hellboy II: The Golden Army,7.0,2h,2008-01-01,action,Guillermo del Toro,78
576,291. Indiana Jones and the Kingdom of the Crystal Skull,6.2,2h 2m,2008-01-01,action,Steven Spielberg,65
577,292. Iron Man,7.9,2h 6m,2008-01-01,action,Jon Favreau,79
578,294. Kung Fu Panda,7.6,1h 32m,2008-01-01,action,Mark Osborne,74
579,300. Pineapple Express,6.9,1h 51m,2008-01-01,action,David Gordon Green,64
580,301. Quantum of Solace,6.5,1h 46m,2008-01-01,action,Marc Forster,58
581,311. Taken,7.7,1h 30m,2008-01-01,action,Pierre Morel,51
582,316. The Chronicles of Narnia: Prince Caspian,6.5,2h 30m,2008-01-01,action,Andrew Adamson,62
583,318. The Dark Knight,9.0,2h 32m,2008-01-01,action,Christopher Nolan,84
584,320. The Incredible Hulk,6.6,1h 52m,2008-01-01,action,Louis Leterrier,61
585,324. Traitor,6.9,1h 54m,2008-01-01,action,Jeffrey Nachmanoff,61
586,328. Vantage Point,6.6,1h 30m,2008-01-01,action,Pete Travis,40
587,330. Wanted,6.7,1h 50m,2008-01-01,action,Timur Bekmambetov,64
588,334. 9,7.0,1h 19m,2009-01-01,action,Shane Acker,60
589,339. Avatar,7.9,2h 42m,2009-01-01,action,James Cameron,83
590,341. Daybreakers,6.4,1h 38m,2009-01-01,action,Michael Spierig,57
591,343. District 9,7.9,1h 52m,2009-01-01,action,Neill Blomkamp,81
592,346. Harry Potter and the Half-Blood Prince,7.6,2h 33m,2009-01-01,action,David Yates,78
593,357. Sherlock Holmes,7.6,2h 8m,2009-01-01,action,Guy Ritchie,57
594,359. Star Trek,7.9,2h 7m,2009-01-01,action,J.J. Abrams,82
595,364. The International,6.5,1h 58m,2009-01-01,action,Tom Tykwer,52
596,372. Veera Madakari,6.8,2h 55m,2009-01-01,action,Sudeep,0
597,373. Watchmen,7.6,2h 42m,2009-01-01,action,Zack Snyder,56
598,374. Zombieland,7.5,1h 28m,2009-01-01,action,Ruben Fleischer,73
599,382. Green Zone,6.8,1h 55m,2010-01-01,action,Paul Greengrass,63
600,384. How to Train Your Dragon,8.1,1h 38m,2010-01-01,action,Dean DeBlois,75
601,385. Inception,8.8,2h 28m,2010-01-01,action,Christopher Nolan,74
602,387. Jackie,7.5,2h 6m,2010-01-01,action,Suri,0
603,388. Kick-Ass,7.6,1h 57m,2010-01-01,action,Matthew Vaughn,66
604,389. Legend of the Guardians: The Owls of Ga'Hoole,6.9,1h 37m,2010-01-01,action,Zack Snyder,53
605,393. Prince of Persia: The Sands of Time,6.5,1h 56m,2010-01-01,action,Mike Newell,50
606,394. Repo Men,6.3,1h 51m,2010-01-01,action,Miguel Sapochnik,32
607,395. Salt,6.5,1h 40m,2010-01-01,action,Phillip Noyce,65
608,"404. Tomorrow, When the War Began",6.1,1h 44m,2010-01-01,action,Stuart Beattie,54
609,408. Captain America: The First Avenger,6.9,2h 4m,2011-01-01,action,Joe Johnston,66
610,410. Cowboys & Aliens,6.0,1h 59m,2011-01-01,action,Jon Favreau,50
611,414. Drive,7.8,1h 40m,2011-01-01,action,Nicolas Winding Refn,79
612,415. Fast Five,7.3,2h 10m,2011-01-01,action,Justin Lin,66
613,416. Hanna,6.7,1h 51m,2011-01-01,action,Joe Wright,65
614,417. Hudugaru,7.8,2h 28m,2011-01-01,action,K. Madesh,0
615,421. Kempe Gowda,7.2,2h 21m,2011-01-01,action,Sudeep,0
616,423. Kung Fu Panda 2,7.3,1h 30m,2011-01-01,action,Jennifer Yuh Nelson,67
617,428. Rise of the Planet of the Apes,7.6,1h 45m,2011-01-01,action,Rupert Wyatt,68
618,431. Source Code,7.5,1h 33m,2011-01-01,action,Duncan Jones,74
619,432. Super 8,7.0,1h 52m,2011-01-01,action,J.J. Abrams,72
620,434. The Adventures of Tintin,7.3,1h 47m,2011-01-01,action,Steven Spielberg,68
621,441. Thor,7.0,1h 55m,2011-01-01,action,Kenneth Branagh,57
622,443. Unknown,6.8,1h 53m,2011-01-01,action,Jaume Collet-Serra,56
623,444. Vishnuvardhana,7.4,2h 49m,2011-01-01,action,Ponkumaran,0
624,445. X-Men: First Class,7.7,2h 11m,2011-01-01,action,Matthew Vaughn,65
625,447. 21 Jump Street,7.2,1h 49m,2012-01-01,action,Phil Lord,69
626,452. Brave,7.1,1h 33m,2012-01-01,action,Mark Andrews,69
627,456. Dredd,7.1,1h 35m,2012-01-01,action,Pete Travis,60
628,457. End of Watch,7.6,1h 49m,2012-01-01,action,David Ayer,68
629,459. Jack Reacher,7.0,2h 10m,2012-01-01,action,Christopher McQuarrie,50
630,460. John Carter,6.6,2h 12m,2012-01-01,action,Andrew Stanton,51
631,463. Looper,7.4,1h 59m,2012-01-01,action,Rian Johnson,84
632,468. Snow White and the Huntsman,6.1,2h 7m,2012-01-01,action,Rupert Sanders,57
633,469. Skyfall,7.8,2h 23m,2012-01-01,action,Sam Mendes,81
634,471. The Avengers,8.0,2h 23m,2012-01-01,action,Joss Whedon,69
635,472. The Dark Knight Rises,8.4,2h 44m,2012-01-01,action,Christopher Nolan,78
636,486. After Earth,4.8,1h 40m,2013-01-01,action,M. Night Shyamalan,33
637,503. Iron Man 3,7.1,2h 10m,2013-01-01,action,Shane Black,62
638,505. Justice League: The Flashpoint Paradox,8.1,1h 15m,2013-01-01,action,Jay Oliva,0
639,509. Man of Steel,7.1,2h 23m,2013-01-01,action,Zack Snyder,55
640,511. Oblivion,7.0,2h 4m,2013-01-01,action,Joseph Kosinski,54
641,515. Avenged,5.5,1h 35m,2013-01-01,action,Michael S. Ojeda,0
642,518. Snowpiercer,7.1,2h 6m,2013-01-01,action,Bong Joon Ho,84
643,521. Star Trek Into Darkness,7.7,2h 12m,2013-01-01,action,J.J. Abrams,72
644,525. The Hunger Games: Catching Fire,7.5,2h 26m,2013-01-01,action,Francis Lawrence,76
645,528. Thor: The Dark World,6.7,1h 52m,2013-01-01,action,Alan Taylor,54
646,532. Vishwaroopam,7.9,2h 28m,2013-01-01,action,Kamal Haasan,0
647,534. World War Z,7.0,1h 56m,2013-01-01,action,Marc Forster,63
648,540. Captain America: The Winter Soldier,7.7,2h 16m,2014-01-01,action,Anthony Russo,70
649,542. Cooties,5.7,1h 28m,2014-01-01,action,Jonathan Milott,49
650,544. Dawn of the Planet of the Apes,7.6,2h 10m,2014-01-01,action,Matt Reeves,79
651,546. Edge of Tomorrow,7.9,1h 53m,2014-01-01,action,Doug Liman,71
652,547. Gajakesari,6.4,2h 45m,2014-01-01,action,S Krishna,0
653,548. Godzilla,6.4,2h 3m,2014-01-01,action,Gareth Edwards,62
654,550. Guardians of the Galaxy,8.0,2h 1m,2014-01-01,action,James Gunn,76
655,557. Maleficent,6.9,1h 37m,2014-01-01,action,Robert Stromberg,56
656,561. Predestination,7.4,1h 37m,2014-01-01,action,Michael Spierig,69
657,566. The Equalizer,7.3,2h 12m,2014-01-01,action,Antoine Fuqua,57
658,568. The Guest,6.7,1h 40m,2014-01-01,action,Adam Wingard,76
659,569. The Maze Runner,6.8,1h 53m,2014-01-01,action,Wes Ball,57
660,570. The Purge: Anarchy,6.4,1h 43m,2014-01-01,action,James DeMonaco,50
661,572. Ugramm,8.0,2h 12m,2014-01-01,action,Prashanth Neel,0
662,578. X-Men: Days of Future Past,7.9,2h 12m,2014-01-01,action,Bryan Singer,75
663,579. American Ultra,6.1,1h 36m,2015-01-01,action,Nima Nourizadeh,50
664,580. Bajrangi Bhaijaan,8.1,2h 43m,2015-01-01,action,Kabir Khan,0
665,585. Eye in the Sky,7.3,1h 42m,2015-01-01,action,Gavin Hood,73
666,588. Jurassic World,6.9,2h 4m,2015-01-01,action,Colin Trevorrow,59
667,590. Mad Max: Fury Road,8.1,2h,2015-01-01,action,George Miller,90
668,591. Master Piece,6.2,2h 38m,2015-01-01,action,Manju Mandavya,0
669,599. Spy,7.0,2h,2015-01-01,action,Paul Feig,75
670,612. Uppi 2,7.8,2h 15m,2015-01-01,action,Upendra,0
671,615. Allied,7.1,2h 4m,2016-01-01,action,Robert Zemeckis,60
672,618. Captain America: Civil War,7.8,2h 27m,2016-01-01,action,Anthony Russo,75
673,623. Killing Veerappan,7.0,2h 31m,2016-01-01,action,Ram Gopal Varma,0
674,628. Morgan,5.8,1h 32m,2016-01-01,action,Luke Scott,48
675,636. Star Trek Beyond,7.0,2h 2m,2016-01-01,action,Justin Lin,68
676,638. The Girl with All the Gifts,6.6,1h 51m,2016-01-01,action,Colm McCarthy,67
677,641. The Jungle Book,7.3,1h 46m,2016-01-01,action,Jon Favreau,77
678,642. The Legend of Tarzan,6.2,1h 50m,2016-01-01,action,David Yates,44
679,644. The Nice Guys,7.4,1h 56m,2016-01-01,action,Shane Black,70
680,646. The Purge: Election Year,6.0,1h 48m,2016-01-01,action,James DeMonaco,55
681,650. Santhu Straight Forward,6.5,2h 39m,2016-01-01,action,Mahesh Rao,0
682,651. American Made,7.1,1h 55m,2017-01-01,action,Doug Liman,65
683,655. Logan,8.1,2h 17m,2017-01-01,action,James Mangold,77
684,656. Risen,6.3,1h 47m,2016-01-01,action,Kevin Reynolds,51
685,659. Teenage Mutant Ninja Turtles: Out of the Shadows,5.9,1h 52m,2016-01-01,action,Dave Green,40
686,661. Thor: Ragnarok,7.9,2h 10m,2017-01-01,action,Taika Waititi,74
687,665. Valerian and the City of a Thousand Planets,6.4,2h 16m,2017-01-01,action,Luc Besson,51
688,667. Free State of Jones,6.9,2h 19m,2016-01-01,action,Gary Ross,53
689,670. Black Hawk Down,7.7,2h 24m,2001-01-01,action,Ridley Scott,74
690,674. The Count of Monte Cristo,7.7,2h 11m,2002-01-01,action,Kevin Reynolds,61
691,676. Tagaru,7.9,2h 9m,2018-01-01,action,Suri,0
692,681. Jumanji: Welcome to the Jungle,7.0,1h 59m,2017-01-01,action,Jake Kasdan,58
693,686. Blade Runner 2049,8.0,2h 44m,2017-01-01,action,Denis Villeneuve,81
694,692. Avengers: Infinity War,8.4,2h 29m,2018-01-01,action,Anthony Russo,68
695,694. Venom,6.6,1h 52m,2018-01-01,action,Ruben Fleischer,35
696,698. K.G.F: Chapter 1,8.2,2h 34m,2018-01-01,action,Prashanth Neel,0
697,700. Mission: Impossible - Fallout,7.7,2h 27m,2018-01-01,action,Christopher McQuarrie,87
698,705. Mortal Engines,6.1,2h 8m,2018-01-01,action,Christian Rivers,44
699,708. Aquaman,6.8,2h 23m,2018-01-01,action,James Wan,55
700,709. Spider-Man: Into the Spider-Verse,8.4,1h 57m,2018-01-01,action,Bob Persichetti,87
701,713. Avengers: Endgame,8.4,3h 1m,2019-01-01,action,Anthony Russo,78
702,719. Alita: Battle Angel,7.3,2h 2m,2019-01-01,action,Robert Rodriguez,53
703,720. Reindeer Games,5.8,1h 44m,2000-01-01,action,John Frankenheimer,37
704,724. Upgrade,7.5,1h 40m,2018-01-01,action,Leigh Whannell,67
705,725. Ready or Not,6.8,1h 35m,2019-01-01,action,Matt Bettinelli-Olpin,64
706,726. Pailwaan,6.2,2h 46m,2019-01-01,action,S Krishna,0
707,727. Charlie's Angels,5.0,1h 58m,2019-01-01,action,Elizabeth Banks,52
708,730. Dangal,8.3,2h 41m,2016-01-01,action,Nitesh Tiwari,0
709,732. Avane Srimannarayana,7.6,3h 6m,2019-01-01,action,Sachin Ravi,0
710,737. Ford v Ferrari,8.1,2h 32m,2019-01-01,action,James Mangold,81
711,739. Zombieland: Double Tap,6.7,1h 39m,2019-01-01,action,Ruben Fleischer,55
712,742. Gentleman,6.8,2h 24m,2020-01-01,action,Jadesh Kumar,0
713,746. Wonder Woman,7.3,2h 21m,2017-01-01,action,Patty Jenkins,76
714,752. Jumanji: The Next Level,6.6,2h 3m,2019-01-01,action,Jake Kasdan,58
715,754. Game Night,6.9,1h 40m,2018-01-01,action,John Francis Daley,66
716,757. Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,6.1,1h 49m,2020-01-01,action,Cathy Yan,60
717,758. Mayhem,6.4,1h 26m,2017-01-01,action,Joe Lynch,62
718,760. The Man from U.N.C.L.E.,7.2,1h 56m,2015-01-01,action,Guy Ritchie,56
719,762. The Hunt,6.6,1h 30m,2020-01-01,action,Craig Zobel,50
720,763. Guns Akimbo,6.3,1h 38m,2019-01-01,action,Jason Howden,42
721,764. Underwater,5.9,1h 35m,2020-01-01,action,William Eubank,48
722,765. Extraction,6.8,1h 56m,2020-01-01,action,Sam Hargrave,56
723,767. Polar,6.3,1h 58m,2019-01-01,action,Jonas Åkerlund,19
724,770. Bad Boys II,6.6,2h 27m,2003-01-01,action,Michael Bay,38
725,771. Spies in Disguise,6.8,1h 42m,2019-01-01,action,Nick Bruno,54
726,774. Pete's Dragon,6.7,1h 42m,2016-01-01,action,David Lowery,71
727,779. Zack Snyder's Justice League,7.9,4h 2m,2021-01-01,action,Zack Snyder,54
728,782. Boss Level,6.8,1h 40m,2020-01-01,action,Joe Carnahan,56
729,783. Love and Monsters,6.9,1h 49m,2020-01-01,action,Michael Matthews,63
730,784. Train to Busan,7.6,1h 58m,2016-01-01,action,Yeon Sang-ho,73
731,785. Godzilla vs. Kong,6.3,1h 53m,2021-01-01,action,Adam Wingard,59
732,787. Office Uprising,5.7,1h 32m,2018-01-01,action,Lin Oeding,0
733,788. Nobody,7.4,1h 32m,2021-01-01,action,Ilya Naishuller,64
734,789. Willy's Wonderland,5.5,1h 28m,2021-01-01,action,Kevin Lewis,44
735,792. Unhinged,6.0,1h 30m,2020-01-01,action,Derrick Borte,40
736,793. Baby Driver,7.5,1h 53m,2017-01-01,action,Edgar Wright,86
737,796. The Suicide Squad,7.2,2h 12m,2021-01-01,action,James Gunn,72
738,797. Red Notice,6.3,1h 58m,2021-01-01,action,Rawson Marshall Thurber,37
739,805. The Lost City,6.1,1h 52m,2022-01-01,action,Aaron Nee,60
740,807. The Unbearable Weight of Massive Talent,7.0,1h 47m,2022-01-01,action,Tom Gormican,68
741,809. Prey,7.1,1h 40m,2022-01-01,action,Dan Trachtenberg,71
742,810. Everything Everywhere All at Once,7.8,2h 19m,2022-01-01,action,Daniel Kwan,81
743,811. The Gray Man,6.5,2h 2m,2022-01-01,action,Joe Russo,49
744,812. Top Gun: Maverick,8.2,2h 10m,2022-01-01,action,Joseph Kosinski,78
745,813. Kantara,8.2,2h 28m,2022-01-01,action,Rishab Shetty,0
746,815. Plane,6.5,1h 47m,2023-01-01,action,Jean-François Richet,62
747,818. RRR,7.8,3h 7m,2022-01-01,action,S.S. Rajamouli,83
748,820. Pandorum,6.7,1h 48m,2009-01-01,action,Christian Alvart,28
749,822. Dracula Untold,6.2,1h 32m,2014-01-01,action,Gary Shore,40
750,9. How the Grinch Stole Christmas,6.4,1h 44m,2000-01-01,comedy,Ron Howard,46
751,11. Meet the Parents,7.0,1h 48m,2000-01-01,comedy,Jay Roach,73
752,15. Road Trip,6.5,1h 33m,2000-01-01,comedy,Todd Phillips,55
753,16. Snatch,8.2,1h 42m,2000-01-01,comedy,Guy Ritchie,55
754,17. Taxi 2,6.5,1h 28m,2000-01-01,comedy,Gérard Krawczyk,0
755,23. American Pie 2,6.4,1h 48m,2001-01-01,comedy,J.B. Rogers,43
756,24. Dil Chahta Hai,8.0,3h 3m,2001-01-01,comedy,Farhan Akhtar,0
757,26. Gosford Park,7.2,2h 17m,2001-01-01,comedy,Robert Altman,90
758,"30. Monsters, Inc.",8.1,1h 32m,2001-01-01,comedy,Pete Docter,79
759,33. No Man's Land,7.9,1h 38m,2001-01-01,comedy,Danis Tanovic,84
760,38. Shrek,7.9,1h 30m,2001-01-01,comedy,Andrew Adamson,84
761,47. Bend It Like Beckham,6.7,1h 52m,2002-01-01,comedy,Gurinder Chadha,66
762,52. Ice Age,7.5,1h 21m,2002-01-01,comedy,Chris Wedge,61
763,55. Makdee,7.5,1h 30m,2002-01-01,comedy,Vishal Bhardwaj,0
764,57. My Big Fat Greek Wedding,6.6,1h 35m,2002-01-01,comedy,Joel Zwick,62
765,61. Secretary,6.9,1h 47m,2002-01-01,comedy,Steven Shainberg,63
766,68. Van Wilder,6.4,1h 32m,2002-01-01,comedy,Walt Becker,26
767,69. 11:14,7.1,1h 26m,2003-01-01,comedy,Greg Marcks,65
768,70. American Wedding,6.3,1h 36m,2003-01-01,comedy,Jesse Dylan,43
769,72. Bad Santa,7.0,1h 32m,2003-01-01,comedy,Terry Zwigoff,70
770,73. Boys,7.2,2h 52m,2003-01-01,comedy,S. Shankar,0
771,74. Bruce Almighty,6.8,1h 41m,2003-01-01,comedy,Tom Shadyac,46
772,78. Freaky Friday,6.3,1h 37m,2003-01-01,comedy,Mark Waters,70
773,79. Holes,7.0,1h 57m,2003-01-01,comedy,Andrew Davis,71
774,81. Johnny English,6.3,1h 27m,2003-01-01,comedy,Peter Howitt,51
775,82. Kal Ho Naa Ho,7.9,3h 6m,2003-01-01,comedy,Nikkhil Advani,54
776,86. Munna Bhai M.B.B.S.,8.1,2h 36m,2003-01-01,comedy,Rajkumar Hirani,0
777,89. Raktha Kanneeru,8.2,2h 29m,2003-01-01,comedy,Sadhu Kokila,0
778,91. Taxi 3,5.8,1h 24m,2003-01-01,comedy,Gérard Krawczyk,0
779,99. 50 First Dates,6.8,1h 39m,2004-01-01,comedy,Peter Segal,48
780,103. A Series of Unfortunate Events,6.8,1h 48m,2004-01-01,comedy,Brad Silberling,62
781,106. Chasing Liberty,6.1,1h 51m,2004-01-01,comedy,Andy Cadiff,46
782,110. Ella Enchanted,6.3,1h 36m,2004-01-01,comedy,Tommy O'Haver,53
783,112. EuroTrip,6.6,1h 32m,2004-01-01,comedy,Jeff Schaffer,45
784,114. Harold & Kumar Go to White Castle,7.0,1h 28m,2004-01-01,comedy,Danny Leiner,64
785,117. Hum Tum,7.0,2h 23m,2004-01-01,comedy,Kunal Kohli,0
786,120. Main Hoon Na,7.1,3h 2m,2004-01-01,comedy,Farah Khan,0
787,121. Mean Girls,7.1,1h 37m,2004-01-01,comedy,Mark Waters,66
788,122. Napoleon Dynamite,7.0,1h 36m,2004-01-01,comedy,Jared Hess,64
789,125. Shaun of the Dead,7.9,1h 39m,2004-01-01,comedy,Edgar Wright,76
790,129. Swing Girls,7.5,1h 44m,2004-01-01,comedy,Shinobu Yaguchi,0
791,138. The Terminal,7.4,2h 8m,2004-01-01,comedy,Steven Spielberg,55
792,141. Wimbledon,6.3,1h 38m,2004-01-01,comedy,Richard Loncraine,59
793,142. Windstruck,7.1,2h 3m,2004-01-01,comedy,Jae-young Kwak,0
794,145. Bewitched,4.8,1h 42m,2005-01-01,comedy,Nora Ephron,34
795,147. Charlie and the Chocolate Factory,6.7,1h 55m,2005-01-01,comedy,Tim Burton,72
796,149. Corpse Bride,7.4,1h 17m,2005-01-01,comedy,Tim Burton,83
797,156. Madagascar,6.9,1h 26m,2005-01-01,comedy,Eric Darnell,57
798,158. Mr. & Mrs. Smith,6.5,2h,2005-01-01,comedy,Doug Liman,55
799,159. Nanny McPhee,6.6,1h 37m,2005-01-01,comedy,Kirk Jones,59
800,161. Rama Shama Bhama,8.0,3h,2005-01-01,comedy,Ramesh Aravind,0
801,164. The 40-Year-Old Virgin,7.1,1h 56m,2005-01-01,comedy,Judd Apatow,73
802,169. The Hitchhiker's Guide to the Galaxy,6.7,1h 49m,2005-01-01,comedy,Garth Jennings,63
803,173. The Sisterhood of the Traveling Pants,6.5,1h 59m,2005-01-01,comedy,Ken Kwapis,66
804,180. Bommarillu,8.2,2h 50m,2006-01-01,comedy,Bommarillu Baskar,0
805,187. Lage Raho Munna Bhai,8.0,2h 24m,2006-01-01,comedy,Rajkumar Hirani,0
806,190. Mata,8.5,2h 23m,2006-01-01,comedy,Guruprasad,0
807,192. Monster House,6.7,1h 31m,2006-01-01,comedy,Gil Kenan,68
808,193. Mungaru Male,8.4,2h 23m,2006-01-01,comedy,Yograj Bhat,0
809,197. Rang De Basanti,8.1,2h 47m,2006-01-01,comedy,Rakeysh Omprakash Mehra,0
810,198. She's the Man,6.4,1h 45m,2006-01-01,comedy,Andy Fickman,45
811,199. Starter for 10,6.7,1h 32m,2006-01-01,comedy,Tom Vaughan,69
812,200. The Ant Bully,5.8,1h 28m,2006-01-01,comedy,John A. Davis,59
813,204. The Girl Who Leapt Through Time,7.7,1h 38m,2006-01-01,comedy,Mamoru Hosoda,66
814,220. Dan in Real Life,6.8,1h 38m,2007-01-01,comedy,Peter Hedges,65
815,223. Enchanted,7.1,1h 47m,2007-01-01,comedy,Kevin Lima,75
816,227. Hot Fuzz,7.8,2h 1m,2007-01-01,comedy,Edgar Wright,81
817,230. Jab We Met,7.9,2h 18m,2007-01-01,comedy,Imtiaz Ali,0
818,231. Juno,7.4,1h 36m,2007-01-01,comedy,Jason Reitman,81
819,232. Knocked Up,6.9,2h 9m,2007-01-01,comedy,Judd Apatow,85
820,235. Meet the Robinsons,6.8,1h 35m,2007-01-01,comedy,Stephen J. Anderson,61
821,239. Nancy Drew,5.9,1h 39m,2007-01-01,comedy,Andrew Fleming,53
822,243. Om Shanti Om,6.8,2h 42m,2007-01-01,comedy,Farah Khan,0
823,245. P.S. I Love You,7.0,2h 6m,2007-01-01,comedy,Richard LaGravenese,39
824,246. Ratatouille,8.1,1h 51m,2007-01-01,comedy,Brad Bird,96
825,249. Shoot 'Em Up,6.6,1h 26m,2007-01-01,comedy,Michael Davis,49
826,252. Superbad,7.6,1h 53m,2007-01-01,comedy,Greg Mottola,76
827,255. Teeth,5.4,1h 34m,2007-01-01,comedy,Mitchell Lichtenstein,57
828,257. The Bucket List,7.4,1h 37m,2007-01-01,comedy,Rob Reiner,42
829,258. The Cake Eaters,6.3,1h 26m,2007-01-01,comedy,Mary Stuart Masterson,60
830,259. The Game Plan,6.4,1h 50m,2007-01-01,comedy,Andy Fickman,44
831,"272. Angus, Thongs and Perfect Snogging",6.3,1h 40m,2008-01-01,comedy,Gurinder Chadha,0
832,276. CJ7,6.4,1h 28m,2008-01-01,comedy,Stephen Chow,46
833,"278. Definitely, Maybe",7.1,1h 52m,2008-01-01,comedy,Adam Brooks,59
834,284. Gaalipata,8.3,2h 26m,2008-01-01,comedy,Yograj Bhat,0
835,285. Ghost Town,6.7,1h 42m,2008-01-01,comedy,David Koepp,72
836,287. Hancock,6.4,1h 32m,2008-01-01,comedy,Peter Berg,49
837,288. Harold & Kumar Escape from Guantanamo Bay,6.5,1h 54m,2008-01-01,comedy,Jon Hurwitz,57
838,290. Horton Hears a Who!,6.8,1h 26m,2008-01-01,comedy,Jimmy Hayward,71
839,293. Jaane Tu... Ya Jaane Na,7.4,2h 35m,2008-01-01,comedy,Abbas Tyrewala,0
840,294. Kung Fu Panda,7.6,1h 32m,2008-01-01,comedy,Mark Osborne,74
841,299. Nick and Norah's Infinite Playlist,6.6,1h 30m,2008-01-01,comedy,Peter Sollett,64
842,300. Pineapple Express,6.9,1h 51m,2008-01-01,comedy,David Gordon Green,64
843,303. Rab Ne Bana Di Jodi,7.2,2h 47m,2008-01-01,comedy,Aditya Chopra,0
844,306. Role Models,6.8,1h 39m,2008-01-01,comedy,David Wain,61
845,308. Sex Drive,6.5,1h 49m,2008-01-01,comedy,Sean Anders,49
846,310. Step Brothers,6.9,1h 38m,2008-01-01,comedy,Adam McKay,51
847,323. The Sisterhood of the Traveling Pants 2,6.2,1h 59m,2008-01-01,comedy,Sanaa Hamri,63
848,331. Yes Man,6.8,1h 44m,2008-01-01,comedy,Peyton Reed,46
849,332. Zack and Miri Make a Porno,6.5,1h 41m,2008-01-01,comedy,Kevin Smith,56
850,333. 3 Idiots,8.4,2h 50m,2009-01-01,comedy,Rajkumar Hirani,67
851,335. 500 Days of Summer,7.7,1h 35m,2009-01-01,comedy,Marc Webb,76
852,336. Adventureland,6.8,1h 47m,2009-01-01,comedy,Greg Mottola,76
853,338. A Serious Man,7.0,1h 46m,2009-01-01,comedy,Ethan Coen,88
854,342. Defendor,6.7,1h 41m,2009-01-01,comedy,Peter Stebbings,57
855,345. Fired Up!,6.1,1h 30m,2009-01-01,comedy,Will Gluck,31
856,"347. I Love You, Man",7.0,1h 45m,2009-01-01,comedy,John Hamburg,70
857,349. Jennifer's Body,5.5,1h 42m,2009-01-01,comedy,Karyn Kusama,47
858,351. Love Aaj Kal,6.8,2h 8m,2009-01-01,comedy,Imtiaz Ali,0
859,352. Maleyali Jotheyali,7.1,2h 18m,2009-01-01,comedy,Preetham Gubbi,0
860,363. The Hangover,7.7,1h 40m,2009-01-01,comedy,Todd Phillips,73
861,365. The Invention of Lying,6.4,1h 40m,2009-01-01,comedy,Ricky Gervais,58
862,367. The Proposal,6.8,1h 48m,2009-01-01,comedy,Anne Fletcher,48
863,370. Up,8.3,1h 36m,2009-01-01,comedy,Pete Docter,88
864,371. Up in the Air,7.4,1h 49m,2009-01-01,comedy,Jason Reitman,83
865,374. Zombieland,7.5,1h 28m,2009-01-01,comedy,Ruben Fleischer,73
866,376. Beginners,7.2,1h 45m,2010-01-01,comedy,Mike Mills,81
867,378. Despicable Me,7.6,1h 35m,2010-01-01,comedy,Pierre Coffin,72
868,387. Jackie,7.5,2h 6m,2010-01-01,comedy,Suri,0
869,388. Kick-Ass,7.6,1h 57m,2010-01-01,comedy,Matthew Vaughn,66
870,390. Love & Other Drugs,6.7,1h 52m,2010-01-01,comedy,Edward Zwick,55
871,398. Tangled,7.7,1h 40m,2010-01-01,comedy,Nathan Greno,71
872,405. Toy Story 3,8.3,1h 43m,2010-01-01,comedy,Lee Unkrich,92
873,"411. Crazy, Stupid, Love.",7.4,1h 58m,2011-01-01,comedy,Glenn Ficarra,68
874,412. Damsels in Distress,5.8,1h 39m,2011-01-01,comedy,Whit Stillman,67
875,413. Detention,5.6,1h 33m,2011-01-01,comedy,Joseph Kahn,45
876,422. Kiraathaka,7.5,2h 41m,2011-01-01,comedy,Pradeep Raj,0
877,423. Kung Fu Panda 2,7.3,1h 30m,2011-01-01,comedy,Jennifer Yuh Nelson,67
878,427. Rio,6.9,1h 36m,2011-01-01,comedy,Carlos Saldanha,63
879,435. The Artist,7.8,1h 40m,2011-01-01,comedy,Michel Hazanavicius,89
880,436. The Descendants,7.3,1h 55m,2011-01-01,comedy,Alexander Payne,84
881,"442. Turn Me On, Dammit!",6.3,1h 16m,2011-01-01,comedy,Jannicke Systad Jacobsen,70
882,444. Vishnuvardhana,7.4,2h 49m,2011-01-01,comedy,Ponkumaran,0
883,447. 21 Jump Street,7.2,1h 49m,2012-01-01,comedy,Phil Lord,69
884,448. American Reunion,6.7,1h 53m,2012-01-01,comedy,Jon Hurwitz,49
